Date,Bajaj Open,Bajaj High,Bajaj Low,Bajaj Close,Bajaj Adj Close,Bajaj Volume
3/25/2022,7059,7067.450195,6940,6973.5,6948.200684,702373
3/24/2022,6969,7035.549805,6881.25,6997.549805,6972.163574,783716
3/23/2022,7050,7104,6970,7004.799805,6979.387207,1176750
3/22/2022,6870,7010,6767,6985.799805,6960.456055,1273796
3/21/2022,7000,7018.75,6850,6870.399902,6845.474609,962019
3/17/2022,6947.700195,7056.899902,6930.100098,6994.399902,6969.024902,1670678
3/16/2022,6780,6899.399902,6743.350098,6840.600098,6815.783203,1633596
3/15/2022,6677.200195,6750,6605,6666.549805,6642.364258,1479270
3/14/2022,6601,6689,6500,6665.450195,6641.268555,1266846
3/11/2022,6550,6685,6490.049805,6628,6603.954102,1264771
3/10/2022,6794,6794,6501,6584.899902,6561.010742,2091561
3/9/2022,6219.5,6525,6121.850098,6472.5,6449.018555,2280131
3/8/2022,6128,6217.350098,5912.899902,6161.850098,6139.495605,2885783
3/7/2022,6350,6370,6100,6125,6102.779297,2843588
3/4/2022,6688.399902,6698,6500,6537.899902,6514.181152,1996509
3/3/2022,6920,6944.299805,6725,6748.350098,6723.867676,1333999
3/2/2022,6918,6936.350098,6762,6831.549805,6806.765625,1608009
2/28/2022,6860,7025,6806.600098,7002.299805,6976.895996,1580891
2/25/2022,6800,6989.950195,6759,6969.399902,6944.115723,1413281
2/24/2022,6800,6900.200195,6592.450195,6627.799805,6603.754883,1930040
2/23/2022,7060,7117.350098,7027.450195,7044.549805,7018.992676,795228
2/22/2022,6800,7036.149902,6789,7011.350098,6985.913574,1258732
2/21/2022,7000,7080.899902,6911,7006.350098,6980.931641,816664
2/18/2022,7020,7116,7010,7030.100098,7004.595703,762517
2/17/2022,7120,7128,6982,7082.450195,7056.755859,903616
2/16/2022,7185,7224.950195,7050,7068.600098,7042.956055,1054041
2/15/2022,6800,7195,6785.950195,7142.049805,7116.13916,1346820
2/14/2022,6810,6930,6744.049805,6785.950195,6761.331543,1169766
2/11/2022,7040,7079.950195,6921.049805,7011.600098,6986.162598,1276461
2/10/2022,7135,7240,7065,7137,7111.10791,1244200
2/9/2022,7128.549805,7157.899902,7070,7117.350098,7091.529297,649166
2/8/2022,7000,7147,6914.700195,7055,7029.405273,1640542
2/7/2022,7165,7165,6881,6930.600098,6905.456543,1183012
2/4/2022,7090,7188.399902,7055,7158.399902,7132.430176,823208
2/3/2022,7253,7287.049805,7100,7110.649902,7084.853027,839856
2/2/2022,7100,7280,7095,7247.450195,7221.157227,1339821
2/1/2022,7075.899902,7115.799805,6886,7014.600098,6989.151855,1383449
1/31/2022,6979.899902,7075.899902,6930.100098,7000.25,6974.854004,1251249
1/28/2022,6961.049805,7045.600098,6845,6867.25,6842.336426,1467522
1/27/2022,6823.600098,6902.350098,6708.100098,6837,6812.196289,1761028
1/25/2022,6900,6996,6752.200195,6963.75,6938.486328,2525934
1/24/2022,7350,7350,6817.700195,6931.75,6906.602539,2502582
1/21/2022,7402.5,7499,7305.850098,7373.75,7346.999023,1370450
1/20/2022,7610,7650,7401,7530.25,7502.931152,2910383
1/19/2022,7850,8045,7473,7571.799805,7544.330078,5000317
1/18/2022,7899.950195,7945,7716.049805,7744,7715.905762,1130024
1/17/2022,7819.5,7910,7801.549805,7852.600098,7824.111816,679774
1/14/2022,7775,7846.100098,7728.5,7832.200195,7803.785645,569635
1/13/2022,7828,7849.549805,7774,7808.350098,7780.021973,616374
1/12/2022,7726,7869,7691.799805,7774.5,7746.294922,1458404
1/11/2022,7739,7759.950195,7571,7669.850098,7642.024902,1037912
1/10/2022,7686,7759,7669.75,7731.299805,7703.251465,639060
1/7/2022,7763.950195,7785,7585,7659.350098,7631.562988,1165951
1/6/2022,7525,7779.350098,7521,7748.25,7720.140137,1535986
1/5/2022,7469.899902,7691.149902,7415,7670.799805,7642.970703,2583262
1/4/2022,7250,7375,7235.5,7343,7316.360352,959173
1/3/2022,6975,7243.950195,6975,7219.600098,7193.408203,1269725
12/31/2021,6882,6999,6875.549805,6977.299805,6951.986816,769907
12/30/2021,6899.899902,6944.950195,6856.899902,6871.100098,6846.172363,658992
12/29/2021,6884.899902,6949.950195,6853.049805,6911.649902,6886.575195,532379
12/28/2021,6980,6980,6861.75,6906.649902,6881.593262,862464
12/27/2021,6751,6908.799805,6654.049805,6890.75,6865.750977,912360
12/24/2021,6984.899902,6987.950195,6757.600098,6852,6827.141602,980774
12/23/2021,6840,6993.5,6838.25,6917.75,6892.65332,1339399
